station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
ZGHA,2020-09-16 00:00,112.8667,28.2333,71.60,71.60,100.00,320.00,3.89,0.00,29.83,M,3.73,M,BKN,OVC,M,M,500.00,5000.00,M,M,-RA,M,M,M,M,M,M,M,ZGHA 160000Z 32002MPS 290V350 6000 -RA BKN005 OVC050 22/22 Q1010 NOSIG
ZBYN,2020-09-16 00:00,112.5500,37.7833,57.20,39.20,50.91,120.00,3.89,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBYN 160000Z 12002MPS 090V160 CAVOK 14/04 Q1015 NOSIG
ZGGG,2020-09-16 00:00,113.3008,23.3964,80.60,75.20,83.66,50.00,3.89,0.00,29.80,M,6.21,M,SCT,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,86.17,ZGGG 160000Z 05002MPS 010V080 9999 SCT026 27/24 Q1009 NOSIG
ZGKL,2020-09-16 00:00,110.3000,25.3333,77.00,77.00,100.00,M,1.94,0.00,29.80,M,1.99,M,FEW,BKN,BKN,M,1600.00,3000.00,4600.00,M,PRFG BR,M,M,M,M,M,M,M,ZGKL 160000Z VRB01MPS 3200 PRFG BR FEW016 BKN030 BKN046 25/25 Q1009 NOSIG
ZGOW,2020-09-16 00:00,116.6833,23.4000,84.20,75.20,74.44,70.00,5.83,0.00,29.83,M,6.21,M,FEW,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,92.45,ZGOW 160000Z 07003MPS 040V110 9999 FEW026 29/24 Q1010 NOSIG
ZHHH,2020-09-16 00:00,114.1300,30.6200,73.40,71.60,94.10,60.00,3.89,0.00,29.83,M,2.80,M,SCT,M,M,M,500.00,M,M,M,BR,M,M,M,M,M,M,M,ZHHH 160000Z 06002MPS 030V110 4500 BR SCT005 23/22 Q1010 NOSIG
ZJHK,2020-09-16 00:00,110.4590,19.9349,82.40,80.60,94.31,0.00,0.00,0.00,29.77,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,95.00,ZJHK 160000Z 00000MPS CAVOK 28/27 Q1008 NOSIG
ZJSY,2020-09-16 00:00,109.4123,18.3029,86.00,78.80,79.18,M,1.94,0.00,29.74,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,99.38,ZJSY 160000Z VRB01MPS CAVOK 30/26 Q1007 NOSIG
ZUGY,2020-09-16 00:00,106.7333,26.5833,62.60,62.60,100.00,40.00,3.89,0.00,29.94,M,3.73,M,FEW,BKN,OVC,M,700.00,1300.00,3300.00,M,-RA,M,M,M,M,M,M,M,ZUGY 160000Z 04002MPS 6000 -RA FEW007 BKN013 OVC033 17/17 Q1014 NOSIG
ZGSZ,2020-09-16 00:00,114.1000,22.5500,82.40,78.80,88.90,40.00,5.83,0.00,29.80,M,6.21,M,BKN,M,M,M,4600.00,M,M,M,M,M,M,M,M,M,M,92.76,ZGSZ 160000Z 04003MPS 010V120 9999 BKN046 28/26 Q1009 NOSIG
ZHCC,2020-09-16 00:00,113.6500,34.7167,73.40,55.40,53.29,270.00,1.94,0.00,29.85,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZHCC 160000Z 27001MPS CAVOK 23/13 Q1011 NOSIG
ZGNN,2020-09-16 00:00,108.2167,22.6333,82.40,77.00,83.77,M,1.94,0.00,29.77,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,90.85,ZGNN 160000Z VRB01MPS CAVOK 28/25 Q1008 NOSIG
ZBAA,2020-09-16 00:00,116.5870,40.0741,68.00,37.40,32.43,280.00,9.72,0.00,29.80,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBAA 160000Z 28005MPS 250V310 CAVOK 20/03 Q1009 BECMG TL0140 32010G15MPS
ZBHH,2020-09-16 00:00,111.6833,40.8167,46.40,37.40,70.68,100.00,3.89,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,44.33,ZBHH 160000Z 10002MPS CAVOK 08/03 Q1016 BECMG TL0130 34006MPS
ZBSJ,2020-09-16 00:00,114.6973,38.2807,66.20,42.80,42.57,280.00,3.89,0.00,29.85,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBSJ 160000Z 28002MPS 240V310 CAVOK 19/06 Q1011 NOSIG
ZBTJ,2020-09-16 00:00,117.3462,39.1243,68.00,41.00,37.32,320.00,13.61,0.00,29.80,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZBTJ 160000Z 32007MPS CAVOK 20/05 Q1009 NOSIG
ZYTL,2020-09-16 00:00,121.6333,38.9000,71.60,64.40,78.04,260.00,13.61,0.00,29.74,M,6.21,M,FEW,M,M,M,2600.00,M,M,M,M,M,M,M,M,M,M,M,ZYTL 160000Z 26007MPS 9999 FEW026 22/18 Q1007 NOSIG
ZYTX,2020-09-16 00:00,123.4000,41.8000,64.40,59.00,82.62,230.00,7.78,0.00,29.65,M,6.21,M,SCT,M,M,M,4000.00,M,M,M,M,M,M,M,M,M,M,M,ZYTX 160000Z 23004MPS 9999 SCT040 18/15 Q1004 NOSIG
ZLLL,2020-09-16 00:00,103.7500,36.0200,50.00,46.40,87.37,340.00,3.89,0.00,30.12,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZLLL 160000Z 34002MPS CAVOK 10/08 Q1020 NOSIG
ZLXY,2020-09-16 00:00,108.7516,34.4471,64.40,59.00,82.62,M,1.94,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,ZLXY 160000Z VRB01MPS CAVOK 18/15 Q1014 NOSIG
ZMUB,2020-09-16 00:00,106.7666,47.8431,37.40,33.80,86.69,320.00,5.83,0.00,30.09,M,6.21,M,FEW,FEW,SCT,M,700.00,2000.00,3300.00,M,M,M,M,M,M,M,M,32.16,ZMUB 160000Z 32003MPS 9999 FEW007 FEW020 SCT033 03/01 Q1019 NOSIG RMK QFE656.5 86 SE E CM
ZSAM,2020-09-16 00:00,118.0833,24.4833,84.20,78.80,83.88,M,1.94,0.00,29.83,M,4.35,M,SCT,M,M,M,1500.00,M,M,M,M,M,M,M,M,M,M,96.10,ZSAM 160000Z VRB01MPS 7000 SCT015 29/26 Q1010 NOSIG
