station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
RKPS,2020-09-16 00:00,128.0704,35.0885,69.80,68.00,94.01,10.00,4.00,0.00,29.88,1012.00,6.21,M,SCT,BKN,OVC,M,1000.00,2000.00,6000.00,M,M,M,M,M,M,M,M,M,RKPS 160000Z 01004KT 9999 SCT010 BKN020 OVC060 21/20 Q1012 RMK CIG020 SLP120 60005 8/6// 9/8//
RKJB,2020-09-16 00:00,126.3800,34.9800,71.60,69.80,94.06,130.00,3.00,0.00,29.83,M,3.73,M,FEW,BKN,OVC,M,1000.00,2500.00,12000.00,M,-RA,M,M,M,M,M,M,M,RKJB 160000Z 13003KT 080V170 6000 -RA FEW010 BKN025 OVC120 22/21 Q1010 BECMG NSW
RKJJ,2020-09-16 00:00,126.8089,35.1264,69.80,69.80,100.00,40.00,3.00,0.00,29.83,1010.00,2.98,M,BKN,OVC,M,M,1500.00,2500.00,M,M,-RA BR,M,M,M,M,M,M,M,RKJJ 160000Z 04003KT 4800 -RA BR BKN015 OVC025 21/21 Q1010 RMK CIG015 SLP100 60005 8/7// 9/8// WR24
RKPC,2020-09-16 00:00,126.4930,33.5113,69.80,69.80,100.00,110.00,5.00,0.00,29.83,M,2.49,M,FEW,BKN,OVC,M,1500.00,3000.00,10000.00,M,RA BR,M,M,M,M,M,M,M,RKPC 160000Z 11005KT 4000 RA BR FEW015 BKN030 OVC100 21/21 Q1010 NOSIG
RKNY,2020-09-16 00:00,128.6692,38.0613,71.60,66.20,83.09,80.00,2.00,0.00,29.80,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,RKNY 160000Z 08002KT CAVOK 22/19 Q1009 NOSIG
RKSM,2020-09-16 00:00,127.1139,37.4458,73.40,66.20,78.19,170.00,3.00,0.00,29.85,M,5.59,M,FEW,SCT,BKN,M,1500.00,4000.00,10000.00,M,BR,M,M,M,M,M,M,M,RKSM 160000Z 17003KT 9000 BR FEW015 SCT040 BKN100 23/19 A2985
QFB,2020-09-16 00:00,128.7167,35.6500,69.80,64.40,82.98,110.00,1.00,0.00,29.94,M,6.21,M,OVC,M,M,M,6500.00,M,M,M,M,M,M,M,M,M,M,M,KQFB 160000Z AUTO 11001KT 9999 OVC065 21/18 A2994 RMK A02 TSNO
RKSS,2020-09-16 00:00,126.7906,37.5583,73.40,68.00,83.21,160.00,5.00,0.00,29.83,M,4.97,M,SCT,OVC,M,M,3000.00,9000.00,M,M,-RA,M,M,M,M,M,M,M,RKSS 160000Z 16005KT 140V200 8000 -RA SCT030 OVC090 23/20 Q1010 NOSIG
RKTH,2020-09-16 00:00,129.4205,35.9879,73.40,73.40,100.00,210.00,2.00,0.00,29.85,1011.80,4.97,M,FEW,BKN,OVC,M,1500.00,2000.00,10000.00,M,M,M,M,M,M,M,M,M,RKTH 160000Z 21002KT 8000 FEW015 BKN020 OVC100 23/23 Q1011 RMK CIG020 SLP118 60000 8/51/ 9/53/
RKTN,2020-09-16 00:00,128.6589,35.8941,71.60,66.20,83.09,150.00,3.00,0.00,29.88,M,4.97,M,FEW,BKN,BKN,M,1500.00,8000.00,12000.00,M,-RA,M,M,M,M,M,M,M,RKTN 160000Z 15003KT 8000 -RA FEW015 BKN080 BKN120 22/19 Q1012
RKTU,2020-09-16 00:00,127.4991,36.7166,71.60,68.00,88.43,170.00,1.00,0.00,29.85,M,5.59,M,FEW,SCT,BKN,M,1500.00,3000.00,15000.00,M,M,M,M,M,M,M,M,M,RKTU 160000Z 17001KT 9000 FEW015 SCT030 BKN150 22/20 Q1011
QEN,2020-09-16 00:00,128.7500,37.6667,62.60,62.60,100.00,220.00,6.00,0.00,29.94,M,6.21,11.00,FEW,BKN,M,M,800.00,10000.00,M,M,M,M,M,M,M,M,M,M,KQEN 160000Z AUTO 22006G11KT 9999 FEW008 BKN100 17/17 A2994 RMK A02 TSNO
QES,2020-09-16 00:00,126.4500,36.9667,80.60,66.20,61.58,M,M,0.00,M,M,5.59,M,FEW,BKN,BKN,M,2200.00,7000.00,14000.00,M,M,M,M,M,M,M,M,M,KQES 160000Z AUTO 9000 FEW022 BKN070 BKN140 27/19 / RMK A02 TSNO
QEJ,2020-09-16 00:00,127.9500,38.2000,66.20,66.20,100.00,60.00,1.00,0.00,29.87,M,2.98,M,OVC,M,M,M,2800.00,M,M,M,BR,M,M,M,M,M,M,M,KQEJ 160000Z AUTO 06001KT 4800 BR OVC028 19/19 A2987 RMK A02 TSNO
QEI,2020-09-16 00:00,128.0667,37.9500,66.20,64.40,93.92,110.00,2.00,0.00,29.88,M,4.97,M,OVC,M,M,M,2100.00,M,M,M,,M,M,M,M,M,M,M,KQEI 160000Z AUTO 11002KT 8000 // OVC021 19/18 A2988 RMK A02 TSNO
QEQ,2020-09-16 00:00,127.5500,37.8500,69.80,73.40,M,180.00,1.00,0.00,29.87,M,2.49,M,BKN,BKN,M,M,2000.00,8500.00,M,M,BR,M,M,M,M,M,M,M,KQEQ 160000Z AUTO 18001KT 4000 BR BKN020 BKN085 21/23 A2987 RMK A02 TSNO
QEW,2020-09-16 00:00,128.1500,36.4000,69.80,66.20,88.34,70.00,2.00,0.00,29.88,M,5.59,M,BKN,OVC,M,M,800.00,2400.00,M,M,,M,M,M,M,M,M,M,KQEW 160000Z AUTO 07002KT 9000 // BKN008 OVC024 21/19 A2988 RMK A02 TSNO
QEP,2020-09-16 00:00,127.2667,37.4000,71.60,66.20,83.09,70.00,1.00,0.00,29.87,M,3.73,M,FEW,SCT,BKN,BKN,900.00,2200.00,3200.00,10000.00,HZ,M,M,M,M,M,M,M,KQEP 160000Z AUTO 07001KT 6000 HZ FEW009 SCT022 BKN032 BKN100 22/19 A2987 RMK A02 TSNO
RKPK,2020-09-16 00:00,128.9382,35.1795,73.40,66.20,78.19,360.00,6.00,0.00,29.85,M,6.21,M,FEW,FEW,BKN,M,2000.00,3000.00,7000.00,M,M,M,M,M,M,M,M,M,RKPK 160000Z 36006KT 9999 FEW020 FEW030 BKN070 23/19 Q1011
QFT,2020-09-16 00:00,127.3500,37.6000,68.00,66.20,93.97,340.00,2.00,0.00,29.85,M,M,M,BKN,M,M,M,2700.00,M,M,M,,M,M,M,M,M,M,M,KQFT 160000Z AUTO 34002KT / // BKN027 20/19 A2985 RMK A02 TSNO
QFU,2020-09-16 00:00,126.9667,37.8000,71.60,66.20,83.09,130.00,5.00,0.00,29.89,M,4.97,M,FEW,BKN,M,M,2100.00,8500.00,M,M,HZ,M,M,M,M,M,M,M,KQFU 160000Z AUTO 13005KT 8000 HZ FEW021 BKN085 22/19 A2989 RMK A02 TSNO
QEX,2020-09-16 00:00,128.3000,36.1000,69.80,66.20,88.34,170.00,3.00,0.00,29.81,M,4.97,M,BKN,BKN,OVC,M,1500.00,3000.00,7500.00,M,HZ,M,M,M,M,M,M,M,KQEX 160000Z AUTO 17003KT 8000 HZ BKN015 BKN030 OVC075 21/19 A2981 RMK A02 TSNO
QFW,2020-09-16 00:00,127.8833,37.6667,69.80,68.00,94.01,280.00,1.00,0.00,29.89,M,6.21,M,BKN,M,M,M,2300.00,M,M,M,M,M,M,M,M,M,M,M,KQFW 160000Z AUTO 28001KT 9999 BKN023 21/20 A2989 RMK A02 TSNO
